################################################################################
# $Header$
#
# This file was automatically generated (badly!) from the 'gismu' file
# at ftp://xiron.pc.helsinki.fi/pub/lojban/wordlists.  Uncommenting
# the entries and filling them in is work in progress.  Note that
# quite a lot of the gismu have come out with the wrong numbers of
# places, this has to be manually fixed.
#
# x1 utters verbally/says/phonates/speaks [vocally makes sound] x2                                
bacru1:A;utter
binra3:D;indemnified peril
binra3t:against peril
binra4:D;benefit* from indemnity
binra4t:providing benefit
#
# x1 becomes/changes/converts/transforms into x2 under conditions x3                              
binxo1:A;become
binxo2:D;result* of becoming
binxo3:D;becoming condition
#
# x1 is made of/contains/is a amount of beer/ale/brew brewed from x2                              
birje1:S;beer
birje2:R;brewed to make beer
birje2t:brewed from
#
# x1 is a/the arm [body-part] of x2; [metaphor: branch with strength]                             
birka1:D;arm
birka2:D;body* having arm
#
# x1 is certain/sure/positive/convinced that x2 is true                                           
birti1:P;convinced
birti2:P;convincing
#
# x1 is a quantity of/is made of/contains ice [frozen crystal] of composition/material x2         
bisli1:S;ice
bisli2:S;ice material
bisli2t:of material
#
# x1 is a wall/fence separating x2 and x3 (unordered) of/in structure x4                          
bitmu1:D;wall*/fence*
bitmu2:R;separated by wall
bitmu2t:separated
bitmu3:R;separated by wall
bitmu3t:separated
bitmu4:D;structure* with wall
bitmu4t:in structure
#
# x1 is white/very-light colored [color adjective]                                                
blabi1:P;white
#
# x1 is a quantity of/is made of/contains glass of composition including x2                       
#blaci1:DSAP;
#blaci2:DSAP;
#
# x1 is blue [color adjective]                                                                    
blanu1:P;blue
#
# x1 is a block [3-dimensional shape/form] of material x2, surfaces/sides x3                      
bliku1:D;block
bliku2:S;block material
bliku3:D;block side
#
# x1 is a boat/ship/vessel [vehicle] for carrying x2, propelled by x3                             
bloti1:D;boat*/ship*
bloti2:D;boat/ship cargo
bloti3:A;propel* boat/ship
#
# x1 is a ball/sphere/orb/globe [shape/form] of material x2; x1 is a spherical object [made of x2]
bolci1:D;sphere
bolci2:S;sphere material
bolci2t:of material
#
# x1 is a/the bone/ivory [body-part], performing function x2 in body of x3; [metaphor: calcium]   
#bongu1:DSAP;
#bongu2:DSAP;
#
# x1 is a bottle/jar/urn/flask/closable container for x2, made of material x3 with lid x4         
botpi1:D;flask
botpi2:S;flask contents
botpi2t:for contents
botpi3:S;flask material
botpi3t:of material
botpi4:D;flask lid
botpi4t:with lid
#
# x1 is a sheet/foil/blanket [2-dimensional shape/form flexible in 3 dimensions] of material x2   
boxfo1:D;sheet
boxfo2:S;sheet material
boxfo2t:of material
#
# x1 is a wave [periodic pattern] in medium x2, wave-form x3, wave-length x4, frequency x5        
boxna1:D;wave
boxna2:S;wave medium
boxna2t:in medium
boxna3:D;waveform
boxna4:D;wavelength
boxna5:D;frequency
#
# x1 is an enemy/opponent/adversary/foe of x2 in struggle x3                                      
bradi1:D;enemy
bradi2:R;with enemy
bradi3:D;struggle* involving enemies
bradi3t:in struggle
#
# x1 is hail/sleet/freezing rain/solid precipitation of material/composition including x2         
bratu1:S;solid precipitation
bratu2:S;solid precipitation composition
bratu2t:of composition
#
# x1 reflects Brazilian culture/nationality/language in aspect x2                                 
#brazo1:DSAP;
#brazo2:DSAP;
#
# x1 is ready/prepared for x2 (event)                                                             
bredi1:P;ready
bredi2:P;prepared for
#
# x1 (text) is a predicate relationship with relation x2 among arguments (sequence/set) x3        
bridi1:D;predicate text
bridi2:D;predicate relation
bridi3:D;predicate argument
#
# x1 is a breeze/wind/gale from direction x2 with speed x3; x1 blows from x2                      
brife1:D;wind
brife2:D;wind direction
brife3:D;wind speed
#
# x1 is an office/bureau/work-place of worker x2 at location x3                                   
briju1:D;office
briju2:D;office worker
briju2t:worker
briju3:D;office location
briju3t:location
#
# x1 reflects British/United Kingdom culture/nationality in aspect x2                             
brito1:P;British
brito2:D;aspect* of Britishness
#
# 1st assignable variable predicate (context determines place structure)                          
#broda1:DSAP;
#broda2:DSAP;
#
# 2nd assignable variable predicate (context determines place structure)                          
#brode1:DSAP;
#brode2:DSAP;
#
# 3rd assignable variable predicate (context determines place structure)                          
#brodi1:DSAP;
#brodi2:DSAP;
#
# 4th assignable variable predicate (context determines place structure)                          
#brodo1:DSAP;
#brodo2:DSAP;
#
# 5th assignable variable predicate (context determines place structure)                          
#brodu1:DSAP;
#brodu2:DSAP;
#
# x1 is brother of/fraternal to x2 by bond/tie/standard/parent(s) x3; [not necess. biological]    
bruna1:D;brother
bruna2:P;having brother
bruna3:D;bond* of brotherhood
#
# x1 pertains to the Buddhist culture/religion/ethos in aspect x2                                 
#budjo1:DSAP;
#budjo2:DSAP;
#
# x1 is an amount of cloth/fabric of type/material x2                                             
bukpu1:S;cloth
bukpu2:S;cloth material
bukpu2t:of material
#
# x1 is foggy/misty/covered by a fog/mist/vapor of liquid x2                                      
bumru1:P;foggy
bumru2:S;fog liquid
bumru2t:of liquid
#
# x1 is x2 (def. 1) local weight unit(s) [non-metric], standard x3, subunits [e.g. ounces] x4     
bunda1:R;having non-metric weight
bunda1t:weighed thing
bunda2:S;number of non-metric weight units
bunda2t:weight
bunda3:S;non-metric weighing standard
bunda3t:by standard
bunda4:D;weight subunit
bunda4t:with subunit
#
# x1 is brown/tan [color adjective]                                                               
bunre1:P;brown
#
# x1 is a brush for purpose x2 (event) with bristles x3                                           
burcu1:D;brush
burcu2:D;brush purpose
burcu2t:for purpose
burcu3:S;bristles
#
# x1 is embarrassed/disconcerted/flustered/ill-at-ease about/under conditions x2 (abstraction)    
burna1:P;embarrassed
burna2:S;conditions for embarrassment
burna2t:under conditions
#
# x1 is current at/in the present of/during/concurrent/simultaneous with x2 in time               
cabna1:P;current
cabna2:D;reference* for being current
#
# x1 is apparatus/mechanism/device/equipment for function x2 controlled/[triggered] by x3 (agent) 
cabra1:S;apparatus
cabra2:D;function* of apparatus
cabra3:A;control* apparatus
#
# x1 is x2 hours in duration (default is 1 hour) by standard x3                                   
cacra1:R;measured in hours
cacra2:S;number of hours
cacra3:S;standard for hour
cacra3t:by standard
#
# x1 walks/strides/paces on surface x2 using limbs x3                                             
cadzu1:A;walk
cadzu2:D;walking surface
cadzu2t:on surface
cadzu3:D;walking limbs
cadzu3t:using limbs
#
# x1 (event) often/frequently/commonly/customarily occurs/recurs by standard x2                   
cafne1:P;frequent
cafne2:D;standard* for being frequent
#
# x1 is made of/contains/is a quantity of chocolate/cocoa                                         
cakla1:S;chocolate
#
# x1 is a shell/husk [hard, protective covering] around x2 composed of x3                         
calku1:D;shell
calku2:R;enclosed by shell
calku2t:enclosing
calku3:S;shell composition
calku3t:of composition
#
# x1 vanishes/disappears from location x2; x1 ceases to be observed at x2 using senses/sensor x3  
canci1:A;vanish
canci2:D;location* vanished from
canci2t:from location
canci3:D;sensor* no longer sensing
canci3t:affected sensor
#
# x1 is idle/at rest/inactive                                                                     
cando1:P;idle
#
# x1 is a farm/ranch at x2, farmed by x3, raising/producing x4; (adjective:) x1 is agrarian       
cange1:D;farm
cange1a:agrarian
cange2:D;farm location
cange2t:at location
cange3:D;farmer
cange4:S;farm produce
#
# x1 exchanges/trades/barters commodity x2 for x3 with x4; x1, x4 is a trader/merchant/businessman
canja1:A;trade
canja2:D;traded commodity
canja3:S;remuneration for trade
canja3t:in exchange for
canja4:D;trading partner
canja4t:trade with
#
# x1 is a window/portal/opening [portal] in wall/building/structure x2                            
canko1:D;window
canko2:D;windowed structure
canko2t:in structure
#
# x1 is space/volume/region/room [at-least-3-dimensional area] occupied by x2                     
canlu1:S;space
canlu2:A;occupy space
#
# x1 is a shovel/spade [bladed digging implement] for digging x2                                  
canpa1:D;shovel
canpa2:R;dug by shovel
#
# x1 is a quantity of/contains/is made of sand/grit from source x2 of composition including x3    
canre1:S;sand/grit
canre2:D;sand/grit source
canre3:S;sand/grit composition
#
# x1 is a/the gut(s)/entrails/intestines/viscera/innards/digestive system [body-part] of x2       
canti1:S;guts
canti2:D;body* with guts
canti2t:of body
#
# x1 is a cart/carriage/wagon [wheeled vehicle] for carrying x2, propelled by x3                  
carce1:D;carriage
carce2:R;carried by carriage
carce3:S;means of propelling carriage
carce3t:propelled by
#
# x1 is intense/bright/saturated/brilliant in property (ka) x2 as received/measured by observer x3
carmi1:P;intense
carmi2:D;intense property
carmi3:A;observe* intensity
#
# x1 turns/rotates/revolves around axis x2 in direction x3                                        
carna1:A;rotate
carna2:D;rotation axis
carna2t:about axis
carna3:D;rotation direction
carna3t:in direction
#
# x1 is a chart/diagram/map of/about x2 showing formation/data-points x3                          
cartu1:D;chart
cartu2:D;chart topic
cartu2t:about topic
cartu3:S;chart data
#
# x1 rains/showers/[precipitates] to x2 from x3; x1 is precipitation [not limited to 'rain']      
carvi1:S;precipitation
carvi2:D;precipitation target
carvi3:D;precipitation source
#
# x1(s) (mass normally, but 1 individual/jo'u possible) discuss(es)/talk(s) about topic/subject x2
casnu1:A;discuss
casnu2:D;discussion topic
#
# x1 [agent] shoves/pushes x2 at locus x3                                                         
catke1:A;push
catke2:P;pushed
catke3:S;locus of pushing
#
# x1 looks at/examines/views/inspects/regards/watches/gazes at x2                                 
catlu1:A;look* at
catlu2:P;looked at
#
# x1 has authority/is an official in/on/over matter/sphere/persons x2 derived on basis x3         
catni1:R;with authority
catni2:R;under authority
catni3:S;basis of authority
#
# x1 (agent) kills/slaughters/murders x2 by action/method x3                                      
catra1:A;kill
catra2:P;killed
catra3:S;method of killing
#
# x1 is shallow in extent in direction/property x2 away from reference point x3 by standard x4    
caxno1:P;shallow
caxno2:S;shallow direction
caxno3:D;reference point* for shallowness
caxno3t:from reference point
caxno4:S;standard of shallowness
caxno4t:by standard
#
# x1 launches/fires/shoots projectile/missile x2, propelled by x3 [propellant/propulsion]         
cecla1:A;launch
cecla2:D;projectile
cecla3:S;propulsion means
#
# x1 is a community/colony of organisms x2                                                        
cecmu1:D;community
cecmu2:D;organism* in community
cecmu2t:with organism
#
# x1 is an era/epoch/age characterized by x2 (event/property/interval/idea)                       
cedra1:D;era
cedra2:P;characterising an era
#
# x1 varies/changes in property/quantity x2 (ka/ni) in amount/degree x3 under conditions x4       
cenba1:A;vary
cenba2:D;variant property
cenba2t:in property
cenba3:D;degree* of variation
cenba3t:in degree
cenba4:S;conditions for variation
cenba4t:under conditions
#
# x1 is holy/sacred to person/people/culture/religion/cult/group x2                               
censa1:P;holy
censa2:A;consider* holy(ness)
#
# x1 is a hundredth [1/100; 1x10**-2] of x2 in dimension/aspect x3 (default is units)             
#centi1:DSAP;
#centi2:DSAP;
#centi3:DSAP;
#
# x1 is an heir to/is to inherit x2 (object/quality) from x3 according to rule x4                 
cerda1:D;heir
cerda2:R;inherited
cerda3:R;having heir
cerda4:D;rule* for inheritance
cerda4t:by rule
#
# x1 is a morning [dawn until after typical start-of-work for locale] of day x2 at location x3    
cerni1:D;morning
cerni2:D;day* of morning
cerni2t:day
cerni3:D;location* of morning
cerni3t:location
#
# x1 is an expert/pro/has prowess in/is skilled at x2 (event/activity) by standard x3             
certu1:P;skilled
certu2:P;requiring skill
certu3:S;standard of skill
#
# x1 is a/the god/deity of people(s)/religion x2 with dominion over x3 [sphere]; x1 is divine     
cevni1:D;god
cevni2:D;people* having god
cevni3:D;sphere* of god
#
# x1 [state/event/process] commences/initiates/starts/begins to occur; (intransitive verb)        
cfari1:A;commence
#
# x1 is a work of fiction about plot/theme/subject x2/under convention x2 by author x3            
cfika1:S;fiction
cfika2:D;fiction plot
cfika3:D;author* of fiction
cfika3t:by author
#
# x1 (property - ka) is a flaw/fault/defect in x2 causing x3                                      
cfila1:D;defect
cfila2:P;defective
cfila3:R;caused by defect
#
# x1 is a wedge [shape/form/tool] of material x2                                                  
cfine1:D;wedge
cfine2:S;wedge material
#
# x1 (event/state) confuses/baffles x2 [observer] due to [confusing] property x3 (ka)             
cfipu1:A;confuse
cfipu2:P;confused
cfipu3:D;confusing property
#
# x1 is blood/vital fluid of organism x2                                                          
ciblu1:D;vital fluid
ciblu2:D;organism* with vital fluid
ciblu2t:of organism
#
# x1 is cyan/turquoise/greenish-blue [color adjective]                                            
cicna1:D;cyan
#
# x1 is food/feed/nutriment for x2; x1 is edible/gives nutrition to x2                            
cidja1:S;food
cidja2:P;fed
#
# x1 is a/the knee/elbow/knuckle [hinged joint, body-part] of limb x2 of body x3                  
cidni1:D;knee*/elbow*
cidni2:D;hinged limb
cidni3:D;body* with hinged limb
cidni3t:of body
#
# x1 is a quantity of/contains/is made of hydrogen (H); [metaphor: light, flammable]              
cidro1:S;hydrogen
#
# x1 is an infant/baby [helpless through youth/incomplete development] of species x2              
cifnu1:D;infant
cifnu2:S;species of infant
cifnu2t:of species
#
# x1 is a/the gland [body-part] secreting x2, of body x3; x2 is a secretion of x1                 
#cigla1:DSAP;
#cigla2:DSAP;
#
# (adjective:) x1 is awake/alert/conscious                                                        
#cikna1:DSAP;
#
# x1 repairs/mends/fixes x2 for use x3                                                            
cikre1:A;repair
cikre2:P;repaired
cikre3:D;use* for repair
#
# x1 (person) explains x2 (event/state/property) to x3 with explanation x4 (du'u)                 
ciksi1:A;explain
ciksi2:P;explained
ciksi3:A;receive* explanation
ciksi4:D;explanation
#
# (adjective:) x1 is wild/untamed                                                                 
cilce1:P;wild
#
# x1 is moist/wet/damp with liquid x2                                                             
cilmo1:DSAP;
cilmo2:DSAP;
#
# x1 learns x2 (du'u) about subject x3 from source x4 (obj./event) by method x5 (event/process)   
cilre1:A;learn
cilre2:R;learned
cilre3:D;learned subject*
cilre4:D;source* for learning
cilre5:D;method* of learning
#
# x1 is a thread/filament/wire [shape/form] of material x2                                        
#cilta1:DSAP;
#cilta2:DSAP;
#
# x1 (property - ka) is a dimension of space/object x2 according to rules/model x3                
#cimde1:DSAP;
#cimde2:DSAP;
#cimde3:DSAP;
#
# x1 is infinite/unending/eternal in property/dimension x2, to degree x3 (quantity)/of type x3    
#cimni1:DSAP;
#cimni2:DSAP;
#cimni3:DSAP;
#
# x1 (agent) kisses/busses x2 at locus x3                                                         
#cinba1:DSAP;
#cinba2:DSAP;
#cinba3:DSAP;
#
# x1 is an oak, a type of tree of species/strain x2                                               
#cindu1:DSAP;
#cindu2:DSAP;
#
# x1 is a lion/[lioness] of species/breed x2                                                      
#cinfo1:DSAP;
#cinfo2:DSAP;
#
# x1 is a wrinkle/crease/fold [shape/form] in x2                                                  
#cinje1:DSAP;
#cinje2:DSAP;
#
# x1 is an insect/arthropod of species x2; [bug/beetle]                                           
#cinki1:DSAP;
#cinki2:DSAP;
#
# x1 is thin in direction/dimension x2 by standard x3; [relatively short in smallest dimension]   
cinla1:P;thin
cinla2:D;direction* of thinness
cinla2t:thin direction
cinla3:D;standard* of thinness
cinla3t:by standard
#
# x1 feels emotion x2 (ka) about x3                                                               
#cinmo1:DSAP;
#cinmo2:DSAP;
#cinmo3:DSAP;
#
# x1 (abstraction) interests/is interesting to x2; x2 is interested in x1                         
#cinri1:DSAP;
#cinri2:DSAP;
#
# x1 in activity/state x2 exhibits sexuality/gender/sexual orientation x3 (ka) by standard x4     
#cinse1:DSAP;
#cinse2:DSAP;
#cinse3:DSAP;
#cinse4:DSAP;
#
# x1 [material] is a paint of pigment/active substance x2, in a base of x3                        
#cinta1:DSAP;
#cinta2:DSAP;
#cinta3:DSAP;
#
# x1 is a/are tong(s)/chopsticks/pincers/tweezers/pliers [tool/body-part] for x2 to pinch x3      
#cinza1:DSAP;
#cinza2:DSAP;
#cinza3:DSAP;
#
# x1 is a bird/avian/fowl of species x2                                                           
#cipni1:DSAP;
#cipni2:DSAP;
#
# x1 (process/event) is a test for/proof of property/state x2 in subject x3 (individ./set/mass)   
#cipra1:DSAP;
#cipra2:DSAP;
#cipra3:DSAP;
#
# x1 loses person/thing x2 at/near x3; x1 loses property/feature x2 in conditions/situation x3    
cirko1:A;lose
cirko2:P;lost
cirko3:D;location* of loss
#
# x1 is a quantity of/contains cheese/curd from source x2                                         
#cirla1:DSAP;
#cirla2:DSAP;
#
# x1 inscribes/writes x2 on display/storage medium x3 with writing implement x4; x1 is a scribe   
ciska1:A;write
ciska2:P;written
ciska3:D;writing medium
ciska4:D;writing implement
#
# x1 smiles/grins (facial expression)                                                             
#cisma1:DSAP;
#cisma2:DSAP;
#cisma3:DSAP;
#
# x1 (mass) system interrelated by structure x2 among components x3 (set) displaying x4 (ka)      
#ciste1:DSAP;
#ciste2:DSAP;
#ciste3:DSAP;
#ciste4:DSAP;
#
# x1 eats/ingests/consumes (transitive verb) x2                                                   
#citka1:DSAP;
#citka2:DSAP;
#
# x1 is young/youthful [relatively short in elapsed duration] by standard x2                      
citno1:P;young
citno2:D;standard* for youth
#
# x1 is a history of x2 according to x3 (person)/from point-of-view x3                            
#citri1:DSAP;
#citri2:DSAP;
#citri3:DSAP;
#
# x1 is a season/is seasonal [cyclical interval], defined by interval/property x2, of year(s) x3  
#citsi1:DSAP;
#citsi2:DSAP;
#citsi3:DSAP;
#
# x1 is a louse/flea [blood-sucking arthropod] of species/breed x2, parasitic on x3               
#civla1:DSAP;
#civla2:DSAP;
#civla3:DSAP;
#
# x1 is strange/weird/deviant/bizarre/odd to x2 in property x3 (ka)                               
cizra1:P;strange
cizra2:A;consider* strange
cizra3:D;strange property
#
# x1 is a quantity of/contains/is made of rubber/latex from source x2 of composition including x3 
#ckabu1:DSAP;
#ckabu2:DSAP;
#ckabu3:DSAP;
#
# x1 is made of/contains/is a quantity of coffee from source/bean/grain x2                        
#ckafi1:DSAP;
#ckafi2:DSAP;
#
# x1 has/is characterized by property/feature/trait/aspect/dimension x2 (ka); x2 is manifest in x1
ckaji1:P;having property
ckaji2:D;property
#
# x1 is a bed/pallet of material x2 for holding/supporting x3 (person/object/event)               
ckana1:D;bed
ckana2:S;bed material
ckana2t:material
ckana3:R;supported by bed
ckana3t:supported
#
# x1 is perilous/dangerous/potentially harmful to x2 under conditions x3                          
ckape1:P;dangerous
ckape2:R;at risk of harm
ckape2t:harmful to
ckape3:S;conditions for danger
ckape3t:under conditions
#
# x1 ridicules/mocks/scoffs at x2 about x3 (property/event) by doing activity x4 (event)          
ckasu1:A;ridicule
ckasu2:P;ridiculed
ckasu3:D;topic* of ridicule
ckasu3t:topic
ckasu4:D;event* leading to ridicule
ckasu4t:causal event
#
# x1 feels ashamed/mortified/humiliated under conditions x2 before community/audience x3          
#ckeji1:DSAP;
#ckeji2:DSAP;
#ckeji3:DSAP;
#
# x1 is a key fitting/releasing/opening/unlocking lock x2, and having relevant properties x3      
#ckiku1:DSAP;
#ckiku2:DSAP;
#ckiku3:DSAP;
#
# x1 (si'o) is a scale of units for measuring/observing/determining x2 (state)                    
#ckilu1:DSAP;
#ckilu2:DSAP;
#
# x1 is related to/associated with/akin to x2 by relationship x3                                  
#ckini1:DSAP;
#ckini2:DSAP;
#ckini3:DSAP;
#
# x1 is grateful/thankful to/appreciative of x2 for x3 (event/property)                           
ckire1:P;grateful
ckire2:A;receive* gratitude
ckire3:D;reason* for gratitude
#
# x1 is school/institute/academy at x2 teaching subject(s) x3 to audien./commun. x4 operated by x5
#ckule1:DSAP;
#ckule2:DSAP;
#ckule3:DSAP;
#ckule4:DSAP;
#
# x1 is a conifer/pine/fir of species/strain x2 with cones x3                                     
ckunu1:D;conifer*/pine*
ckunu2:D;conifer species
ckunu2n:conifer species:Prevent extra plural
ckunu3:D;pine cone
#
# x1 is loud/noisy at observation point x2 by standard x3                                         
#cladu1:DSAP;
#cladu2:DSAP;
#cladu3:DSAP;
#
# x1 is long in dimension/direction x2 (default longest dimension) by measurement standard x3     
#clani1:DSAP;
#clani2:DSAP;
#clani3:DSAP;
#
# x1 is without/lacking/free of/lacks x2; x1 is x2-less                                           
#claxu1:DSAP;
#
# x1 is a moss/lichen of species/strain x2 growing on x3; (adjective:) x1 is mossy                
#clika1:DSAP;
#clika2:DSAP;
#
# x1 (event) is early by standard x2                                                              
#clira1:DSAP;
#clira2:DSAP;
#
# x1 is polite/courteous/civil in matter x2 according to standard/custom x3                       
